Conference,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Eastern,Cleveland Cavaliers,29,4,.879,—,122.4,110.5,9.74
Eastern,Boston Celtics,25,9,.735,4.5,119.6,109.1,9.20
Eastern,New York Knicks,24,10,.706,5.5,117.9,109.6,6.03
Eastern,Orlando Magic,20,15,.571,10.0,105.6,103.6,1.95
Eastern,Milwaukee Bucks,17,15,.531,11.5,112.6,111.4,0.84
Eastern,Miami Heat,17,15,.531,11.5,111.4,109.3,1.55
Eastern,Atlanta Hawks,18,16,.529,11.5,117.9,119.4,-1.69
Eastern,Indiana Pacers,17,18,.486,13.0,115.0,116.8,-2.05
Eastern,Detroit Pistons,15,18,.455,14.0,112.0,114.6,-2.36
Eastern,Chicago Bulls,15,19,.441,14.5,117.2,121.1,-3.26
Eastern,Philadelphia 76ers,13,19,.406,15.5,107.2,111.3,-4.05
Eastern,Brooklyn Nets,13,21,.382,16.5,108.1,113.2,-4.00
Eastern,Toronto Raptors,8,26,.235,21.5,111.6,119.1,-5.93
Eastern,Charlotte Hornets,7,25,.219,21.5,106.2,112.8,-6.01
Eastern,Washington Wizards,6,25,.194,22.0,108.9,121.9,-9.88
Western,Oklahoma City Thunder,28,5,.848,—,115.4,103.2,11.63
Western,Memphis Grizzlies,23,11,.676,5.5,123.2,114.1,7.24
Western,Houston Rockets,22,11,.667,6.0,112.9,106.4,6.50
Western,Denver Nuggets,19,13,.594,8.5,121.1,117.6,3.31
Western,Dallas Mavericks,20,14,.588,8.5,116.6,111.4,4.66
Western,Los Angeles Lakers,19,14,.576,9.0,112.0,114.1,-2.21
Western,Los Angeles Clippers,19,15,.559,9.5,108.5,108.0,1.50
Western,Minnesota Timberwolves,17,16,.515,11.0,109.4,107.7,2.14
Western,Golden State Warriors,17,16,.515,11.0,112.3,110.4,3.02
Western,San Antonio Spurs,17,16,.515,11.0,111.5,111.2,-0.56
Western,Phoenix Suns,15,17,.469,12.5,112.2,114.0,-1.77
Western,Sacramento Kings,15,19,.441,13.5,114.8,113.5,-0.20
Western,Portland Trail Blazers,11,22,.333,17.0,108.0,117.2,-8.71
Western,Utah Jazz,7,25,.219,20.5,110.7,119.8,-8.11
Western,New Orleans Pelicans,5,29,.147,23.5,106.7,118.0,-9.68
